Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:34:51,"3.1107317, 101.6180967",198 meter,
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:41,"3.11079, 101.6142133",163 meter,23
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 13:39:59,"3.1091283, 101.611545",165 meter,1
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 13:30:26,"3.118255, 101.6195283",187 meter,Sequence
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 13:32:01,"3.1162971, 101.621919",122 meter,30
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 13:33:31,"3.1141583, 101.620965",47 meter,31
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 13:34:21,"3.1124, 101.619485",176 meter,26
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:36:21,"3.1102167, 101.6160767",130 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:51,"3.110945, 101.61342",80 meter,33
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 13:39:59,"3.1091283, 101.611545",178 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 13:01:40,"3.1022081, 101.6149736",196 meter,Sequence
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 13:02:50,"3.10142, 101.6109417",177 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:34:45,"3.1105817, 101.618035",184 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:30,"3.110695, 101.6145417",199 meter,23
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 13:01:34,"3.1026132, 101.6149806",149 meter,Sequence
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 13:02:55,"3.10107, 101.6109533",170 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 13:03:25,"3.097425, 101.61096",67 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 13:05:10,"3.0924867, 101.610965",84 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 13:06:00,"3.0886133, 101.6130583",123 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 13:07:35,"3.0893967, 101.6149717",78 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 13:08:50,"3.0924133, 101.615081",190 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 13:10:00,"3.0945267, 101.6169783",107 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 13:17:10,"3.0948383, 101.6273983",175 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 13:17:30,"3.0958283, 101.62901",182 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 13:18:40,"3.0969483, 101.63226",175 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 13:19:10,"3.1001483, 101.63238",61 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 13:19:40,"3.1013617, 101.6313567",79 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 13:20:40,"3.1029017, 101.6295583",73 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 13:21:10,"3.1040283, 101.6273383",173 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 13:21:45,"3.1056683, 101.625845",133 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 13:22:40,"3.1088217, 101.6241883",146 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 13:24:20,"3.11138, 101.6220167",109 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 13:26:25,"3.1128417, 101.6201483",128 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 13:27:25,"3.11492, 101.6215867",35 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 13:28:30,"3.1161967, 101.622565",118 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 13:29:00,"3.1177933, 101.6243967",145 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 13:29:40,"3.1202667, 101.62249",89 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 13:31:15,"3.118215, 101.61959",179 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 13:34:20,"3.11197, 101.6191583",116 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:36:15,"3.1103067, 101.6160167",121 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:40,"3.1108167, 101.613615",97 meter,33
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:59:34,"3.1111536, 101.6121908",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 13:00:19,"3.10897, 101.6115383",148 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 13:01:39,"3.1074267, 101.6077883",159 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 13:02:24,"3.10934, 101.60516",164 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 13:02:59,"3.10944, 101.6003633",96 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 13:03:24,"3.1095217, 101.5968383",121 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 13:05:50,"3.1014817, 101.5991033",103 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 13:06:20,"3.1027117, 101.6004567",47 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 13:06:25,"3.1032033, 101.600455",41 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 13:07:00,"3.1045233, 101.6004083",63 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 13:08:20,"3.1053467, 101.6059567",151 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 13:09:10,"3.1036017, 101.6070983",67 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 13:09:35,"3.10189, 101.6060067",108 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 13:10:20,"3.0988833, 101.6039367",161 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 13:10:55,"3.0971833, 101.6046317",18 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 13:11:05,"3.0968483, 101.6051633",44 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 13:11:20,"3.09624, 101.605875",49 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 13:12:30,"3.0986967, 101.6071167",33 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 13:13:40,"3.1018217, 101.609",47 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 13:14:15,"3.1016017, 101.611655",186 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 13:15:45,"3.1029, 101.6164117",188 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 13:16:45,"3.1075083, 101.6161683",129 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:17:10,"3.1095717, 101.6171533",78 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:59:34,"3.1111536, 101.6121908",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 13:00:19,"3.10897, 101.6115383",162 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 13:14:30,"3.1015833, 101.6126867",169 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:17:35,"3.1099833, 101.616405",174 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:53,"3.1112186, 101.6126461",60 meter,Sequence
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 13:32:55,"3.1102167, 101.596235",163 meter,1
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:53,"3.1112186, 101.6126461",60 meter,Sequence
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:25,"3.1112885, 101.612108",97 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:49:04,"3.109215, 101.6115883",176 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 12:51:49,"3.1074133, 101.608155",198 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 12:52:44,"3.10948, 101.6046817",110 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 12:53:14,"3.1095133, 101.6006717",131 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 12:53:34,"3.10951, 101.5975933",190 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 12:55:49,"3.1014583, 101.5990233",112 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 12:56:37,"3.102065, 101.6005283",30 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 12:56:52,"3.103515, 101.6004633",16 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 12:57:07,"3.1047167, 101.6003933",47 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 12:58:37,"3.1053767, 101.6057617",172 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 12:59:37,"3.103885, 101.607215",100 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 13:00:02,"3.1020683, 101.605975",124 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 13:01:07,"3.0992967, 101.60418",199 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 13:01:52,"3.0971608, 101.6048034",6 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 13:02:12,"3.0968333, 101.6051433",45 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 13:02:27,"3.09624, 101.6060017",38 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 13:03:12,"3.0974767, 101.6073067",169 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 13:03:52,"3.102305, 101.608195",151 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 13:04:32,"3.1015517, 101.6116417",188 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 13:06:22,"3.1029667, 101.6165",181 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 13:07:32,"3.1075917, 101.6161233",122 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:08:06,"3.1094233, 101.61716",88 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:25,"3.1112885, 101.612108",97 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:49:04,"3.109215, 101.6115883",189 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 13:04:47,"3.1015783, 101.6126617",172 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:08:26,"3.110195, 101.6161233",136 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:31:58,"3.1111052, 101.6122701",70 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:33:16,"3.1093383, 101.6114683",186 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 12:35:56,"3.1074533, 101.6073833",116 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 12:36:36,"3.1092867, 101.6053133",182 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 12:37:16,"3.1094633, 101.5998533",40 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 12:37:36,"3.10946, 101.596425",88 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 12:39:46,"3.1015367, 101.5984833",170 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 12:40:41,"3.10252, 101.6004367",25 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 12:40:46,"3.1030933, 101.6003967",51 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 12:41:26,"3.1043541, 101.6003085",85 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 12:43:01,"3.1053983, 101.6055183",199 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 12:44:26,"3.1036467, 101.6069933",65 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 12:44:56,"3.10181, 101.605895",94 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 12:45:41,"3.0987267, 101.6037883",152 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 12:46:36,"3.096985, 101.604995",28 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 12:46:41,"3.096805, 101.6052433",34 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 12:46:56,"3.0961867, 101.60602",32 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 12:47:36,"3.0982417, 101.6071233",83 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 12:48:56,"3.1020633, 101.60851",107 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 12:49:36,"3.1016217, 101.6118767",162 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 12:51:16,"3.103, 101.6164917",177 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 12:52:41,"3.107375, 101.6162283",142 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 12:53:06,"3.1094467, 101.6171333",84 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:31:58,"3.1111052, 101.6122701",70 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:33:16,"3.1093383, 101.6114683",197 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 12:49:51,"3.1016433, 101.6131033",124 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 12:53:16,"3.1098833, 101.6165633",194 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:20:07,"3.1110179, 101.6126475",38 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:22:17,"3.1082667, 101.6113133",67 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 12:24:17,"3.1015974, 101.6149518",180 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 12:25:17,"3.1014817, 101.61093",175 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 12:55:32,"3.1103267, 101.617745",144 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:20:07,"3.1110179, 101.6126475",38 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:22:17,"3.1082667, 101.6113133",81 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 12:22:57,"3.1061417, 101.610765",123 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 12:24:07,"3.102305, 101.6150283",126 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 12:25:22,"3.10107, 101.6109733",170 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 12:25:52,"3.0972283, 101.6109867",45 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 12:27:12,"3.0928967, 101.610955",129 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 12:27:57,"3.0890333, 101.612985",139 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 12:29:47,"3.0898083, 101.6149833",34 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 12:30:32,"3.0924345, 101.6150252",195 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 12:31:17,"3.094415, 101.6168817",123 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 12:38:27,"3.0946783, 101.627398",186 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 12:38:57,"3.0959417, 101.6292083",158 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 12:40:32,"3.09733, 101.6322667",132 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 12:40:57,"3.0999833, 101.6323367",79 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 12:41:27,"3.1013983, 101.6311383",55 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 12:42:12,"3.1024867, 101.6295083",111 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 12:42:47,"3.1039883, 101.6264733",79 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 12:43:07,"3.105635, 101.6259583",142 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 12:43:52,"3.108815, 101.6244733",174 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 12:45:32,"3.111075, 101.622415",165 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 12:46:17,"3.1128155, 101.6201518",131 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 12:47:57,"3.114675, 101.6213083",74 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 12:49:12,"3.1161617, 101.6225583",122 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 12:51:17,"3.1181833, 101.6241583",95 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 12:51:42,"3.12014, 101.62262",108 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 12:53:42,"3.118265, 101.619525",188 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 12:55:12,"3.1119433, 101.619065",108 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 12:56:07,"3.11004, 101.616305",161 meter,32
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 12:19:32,"3.1075078, 101.5949508",185 meter,Sequence
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 12:30:15,"3.1177383, 101.624965",187 meter,Sequence
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 12:30:25,"3.1175608, 101.6244185",154 meter,28
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 12:31:20,"3.1201833, 101.62263",107 meter,27
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 12:33:25,"3.1183533, 101.6194683",199 meter,29
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 12:34:25,"3.1163367, 101.621975",128 meter,30
20,KK MART – JLN BARAT,"3.101009, 101.641442",2019-06-02 12:22:15,"3.1010083, 101.642005",63 meter,Sequence
39,KK MART – JLN BARAT,"3.101009, 101.641442",2019-06-02 12:22:15,"3.1010083, 101.642005",63 meter,20
40,ARMADA HOTEL – L/RAYA PERSEKUTUAN,"3.10337610253677, 101.64025799142",2019-06-02 12:23:15,"3.1025367, 101.63996",99 meter,39
21,LRT ASIA JAYA,"3.104008, 101.639197",2019-06-02 12:23:25,"3.1033733, 101.6394767",77 meter,40
22,SK SRI PETALING (OPP) – JLN SEMANGAT,"3.108627, 101.639347",2019-06-02 12:24:20,"3.1071533, 101.6395483",164 meter,21
23,JAYA 33 SEKYSEN 14 (OPP)-JLN SEMANGAT,"3.11048667305831, 101.636358887321",2019-06-02 12:25:05,"3.109465, 101.6376117",179 meter,22
24,QUILL  9 – JLN SEMANGAT,"3.11422237810662, 101.632655920245",2019-06-02 12:26:20,"3.1131167, 101.6338867",183 meter,23
25,HOTEL LISA DE INN -  JLN UNIVERSITI,"3.11828765085725, 101.630664864952",2019-06-02 12:27:05,"3.1165783, 101.6303417",192 meter,24
26,DKSH HOLDING  (OPP) – JLN UNIVERSITI,"3.11886100000001, 101.63325",2019-06-02 12:38:40,"3.11864, 101.6319567",146 meter,25
27,FLAT  SEKYSEN 17 / JAYA ONE-JLN UNIVERSITI,"3.11908322643839, 101.635485060643",2019-06-02 12:39:05,"3.118875, 101.63438",125 meter,26
28,UIA PJ – JLN UNIVERSITI,"3.11876691931384, 101.639601270106",2019-06-02 12:40:15,"3.118822, 101.6379031",189 meter,27
29,MASJID KOLEJ ISLAM MALAYA – JLN UNIVERSITI,"3.118676, 101.640734",2019-06-02 12:41:20,"3.118705, 101.6402817",50 meter,28
30,SMK ABDUL SAMAD – JLN UNIVERSITI,"3.11854103303284, 101.645076785236",2019-06-02 12:41:55,"3.1184883, 101.6437283",150 meter,29
31,MAHSA UNI/INTAN – JLN UNIVERSITI,"3.11708077207259, 101.649737772469",2019-06-02 12:42:35,"3.118125, 101.6483167",196 meter,30
32,PPUM CERIA (OPP) – JLN UNIVERSITI,"3.11433889012877, 101.651045337682",2019-06-02 12:44:00,"3.1155217, 101.650575",141 meter,31
41,LRT TMN JAYA,"3.10406750238446, 101.645327729448",2019-06-02 12:49:05,"3.1038617, 101.6469833",185 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 11:57:36,"3.1107367, 101.6132983",61 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:00:25,"3.10875, 101.6114367",122 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 12:02:05,"3.1018533, 101.615025",191 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 12:03:20,"3.10114, 101.6109217",181 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 12:31:10,"3.1101633, 101.6177233",136 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 11:57:36,"3.1107367, 101.6132983",61 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:00:25,"3.10875, 101.6114367",135 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 12:01:05,"3.1059083, 101.6109717",90 meter,2
